sample_idx,codec_score,codec_memorized
0,1.0,1
1,1.0,1
2,0.0,0
3,1.0,1
4,1.0,1
5,1.0,1
6,0.0,0
7,1.0,1
8,0.0,0
9,1.0,1
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,1.0,1
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,1.0,1
21,0.0,0
22,1.0,1
23,1.0,1
24,0.0,0
25,1.0,1
26,1.0,1
27,0.0,0
28,1.0,1
29,1.0,1
30,0.0,0
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,0.0,0
36,0.0,0
37,0.0,0
38,1.0,1
39,0.0,0
40,0.0,0
41,0.0,0
42,1.0,1
43,1.0,1
44,0.0,0
45,0.0,0
46,1.0,1
47,0.0,0
48,0.0,0
49,0.0,0
50,1.0,1
51,1.0,1
52,1.0,1
53,0.0,0
54,0.0,0
55,0.0,0
56,1.0,1
57,1.0,1
58,0.0,0
59,0.0,0
60,1.0,1
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,1.0,1
69,1.0,1
70,0.0,0
71,0.0,0
72,0.0,0
73,0.0,0
74,0.0,0
75,0.0,0
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,0.0,0
81,0.0,0
82,0.0,0
83,1.0,1
84,0.0,0
85,1.0,1
86,0.0,0
87,1.0,1
88,1.0,1
89,1.0,1
90,0.0,0
91,0.0,0
92,0.0,0
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,0.0,0
98,0.0,0
99,1.0,1
100,0.0,0
101,1.0,1
102,1.0,1
103,0.0,0
104,1.0,1
105,1.0,1
106,0.0,0
107,0.0,0
108,0.0,0
109,0.0,0
110,0.0,0
111,0.0,0
112,0.0,0
113,1.0,1
114,0.0,0
115,0.0,0
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,1
124,0.0,0
125,1.0,1
126,1.0,1
127,1.0,1
128,0.0,0
129,1.0,1
130,0.0,0
131,1.0,1
132,0.0,0
133,1.0,1
134,0.0,0
135,1.0,1
136,1.0,1
137,0.0,0
138,1.0,1
139,1.0,1
140,0.0,0
141,0.0,0
142,0.0,0
143,0.0,0
144,1.0,1
145,0.0,0
146,0.0,0
147,0.0,0
148,1.0,1
149,1.0,1
150,1.0,1
151,0.0,0
152,0.0,0
153,1.0,1
154,0.0,0
155,1.0,1
156,0.0,0
157,0.0,0
158,0.0,0
159,0.0,0
160,0.0,0
161,0.0,0
162,1.0,1
163,0.0,0
164,1.0,1
165,1.0,1
166,0.0,0
167,1.0,1
168,0.0,0
169,1.0,1
170,0.0,0
171,1.0,1
172,0.0,0
173,1.0,1
174,1.0,1
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,0.0,0
184,0.0,0
185,1.0,1
186,0.0,0
187,0.0,0
