sample_idx,codec_score,codec_memorized
0,1.0,1
1,0.0,0
2,1.0,1
3,0.0,0
4,0.0,0
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,0.0,0
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,1
15,1.0,1
16,0.0,0
17,0.0,0
18,1.0,1
19,0.0,0
20,1.0,1
21,1.0,1
22,0.0,0
23,1.0,1
24,0.0,0
25,1.0,1
26,0.0,0
27,1.0,1
28,1.0,1
29,0.0,0
30,0.0,0
31,1.0,1
32,1.0,1
33,0.0,0
34,1.0,1
35,1.0,1
36,0.0,0
37,1.0,1
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,1.0,1
43,0.0,0
44,0.0,0
45,0.0,0
46,1.0,1
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,1.0,1
53,1.0,1
54,0.0,0
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,0.0,0
61,1.0,1
62,0.0,0
63,0.0,0
64,0.0,0
65,1.0,1
66,1.0,1
67,0.0,0
68,0.0,0
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,0.0,0
74,1.0,1
75,0.0,0
76,0.0,0
77,0.0,0
78,1.0,1
79,0.0,0
80,1.0,1
81,0.0,0
82,1.0,1
83,0.0,0
84,0.0,0
85,0.0,0
86,0.0,0
87,1.0,1
88,1.0,1
89,0.0,0
90,0.0,0
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,0.0,0
98,0.0,0
99,0.0,0
100,0.0,0
101,1.0,1
102,1.0,1
103,1.0,1
104,0.0,0
105,0.0,0
106,1.0,1
107,0.0,0
108,0.0,0
109,0.0,0
110,1.0,1
111,1.0,1
112,1.0,1
113,0.0,0
114,0.0,0
115,0.0,0
116,1.0,1
117,1.0,1
118,0.0,0
119,0.0,0
120,1.0,1
121,1.0,1
122,0.0,0
123,0.0,0
124,0.0,0
125,0.0,0
126,0.0,0
127,1.0,1
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,0.0,0
134,1.0,1
135,1.0,1
136,0.0,0
137,1.0,1
138,1.0,1
139,0.0,0
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,0.0,0
145,1.0,1
146,0.0,0
147,0.0,0
148,1.0,1
149,0.0,0
150,0.0,0
151,0.0,0
152,1.0,1
153,0.0,0
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,0
160,0.0,0
161,1.0,1
162,1.0,1
163,1.0,1
164,0.0,0
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,0.0,0
170,0.0,0
171,0.0,0
172,1.0,1
173,0.0,0
174,1.0,1
175,1.0,1
176,1.0,1
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,0.0,0
185,0.0,0
186,1.0,1
187,0.0,0
188,1.0,1
189,1.0,1
190,1.0,1
191,1.0,1
192,0.0,0
193,1.0,1
194,1.0,1
195,1.0,1
196,0.0,0
197,1.0,1
198,1.0,1
199,1.0,1
200,1.0,1
201,0.0,0
202,1.0,1
203,1.0,1
204,1.0,1
